sku,tienda,stock_disponible
MS-1036,Almacén Central MercaSur,25
MS-1037,MercaSur Surco,34
MS-1037,MercaSur Norte,12
MS-1037,MercaSur San Miguel,16
MS-1037,MercaSur Salaverry,9
MS-1037,MercaSur Sur,20
MS-1037,Almacén Central MercaSur,44
MS-1038,MercaSur Surco,4
MS-1038,MercaSur Norte,34
MS-1038,MercaSur San Miguel,1
MS-1038,MercaSur Salaverry,15
MS-1038,MercaSur Sur,17
MS-1038,Almacén Central MercaSur,17
MS-1039,MercaSur Surco,27
MS-1039,MercaSur Norte,8
MS-1039,MercaSur San Miguel,19
MS-1039,MercaSur Salaverry,27
MS-1039,MercaSur Sur,30
MS-1039,Almacén Central MercaSur,10
MS-1040,MercaSur Surco,33
MS-1040,MercaSur Norte,20
MS-1040,MercaSur San Miguel,3
MS-1040,MercaSur Salaverry,43
MS-1040,MercaSur Sur,15
MS-1040,Almacén Central MercaSur,7
MS-1041,MercaSur Surco,17
MS-1041,MercaSur Norte,11
MS-1041,MercaSur San Miguel,23
MS-1041,MercaSur Salaverry,3
MS-1041,MercaSur Sur,32
MS-1041,Almacén Central MercaSur,22
MS-1042,MercaSur Surco,4
MS-1042,MercaSur Norte,15
MS-1042,MercaSur San Miguel,4
MS-1042,MercaSur Salaverry,33
MS-1042,MercaSur Sur,38
MS-1042,Almacén Central MercaSur,6
